BIO_REGION_ID|ECO_REGION|ECO_REGION_DESCRIPTION|ECO_REGION_ID
AU8|Mitchell Grass Downs|Mitchell grasses dominate vast treeless, rolling plains that stretch from central west Queensland into the Barkly Tableland on the northeast fringe of Australia’s central deserts.|187
AU8|Kimberly Tropical Savanna|The deep gorges and steep cliffs of the rugged central ranges of the Kimberly have long functioned as climate microrefugia for many moisture-loving species.|186
AU8|Einasleigh Upland Savanna|Moving inland and upwards from the coastal Queensland rainforests, the drier Einasleigh Upland Savanna supports ironbark woodlands, wetlands, and drier rainforests.|185
AU8|Carpentaria Tropical Savanna|This ecoregion encompasses a long arc of depositional plains along the southern Gulf of Carpentaria.|184
AU8|Arnhem Land Tropical Savanna|Arnhem Land is notable for its vast relatively natural landscapes, mosaics of floodplains, woodlands, wetlands, sedgelands, mangroves, and pockets of vine-filled monsoonal rainforest.|181
AU7|Western Australian Mulga Shrublands|This ecoregion is mostly covered by mulga trees, a type of acacia adapted to hot and arid climate through long tap roots that access water. |216
AU7|Tirari-Stuart Stony Desert|Ancient gibber pebble plains, sand dunes, ephemeral gilgal lakes, salt lakes, and xeric grasslands cover the Tirari-Sturt stony desert, one of the driest areas of Australia.|215
AU7|Simpson Desert|This ecoregion has low relief characterized by flood and alluvial plains, ephemeral lakes and claypans.|214
AU7|Nullarbor Plains Xeric Shrublands|The Nullarbor Plain is flat, featureless, and treeless, riddled with caves and sinkholes in this uplifted ancient seabed—the world’s largest limestone plain.|212
AU7|Great Victoria Desert|The Great Victoria Desert is a global hotspot for reptile diversity, with the colourful thorny devil being one of the most spectacular.|211
AU7|Great Sandy-Tanami Desert|This expansive ecoregion encompasses the Little Sandy Desert, Great Sandy Desert, and Tanami Desert Interim Biogeographic Regionalization for Australia (IBRA) regions.|210
AU7|Gibson Desert|The broad gravel and red sand plains and dunes of the Gibson Desert are home to one to the world’s most diverse communities of reptiles.|209
AU7|Central Ranges Xeric Scrub|This ecoregion includes red-soils of mulga (Acacia aneura) shrubland and grasslands of the Central Ranges at the heart of Australia.|208
AU6|Pilbara Shrublands|This ecoregion displays unusually high levels of endemism derived, in part, from its ancient landscapes, complex habitats, and relative isolation.|213
AU6|Carnarvon Xeric Shrublands|This ecoregion includes the dry shrublands of this remote region in western Australia. |207
AU5|Southwest Australia Woodlands|This ecoregion occurs in the Southwest Australia global biodiversity hotspot, one of the five Mediterranean-type ecosystems around the world that are known for exceptionally high endemism and richness of plant species. |206
AU5|Southwest Australia Savanna|The southwest savannas are a transition zone between the arid center of Australia and the long-isolated biodiversity hotspot of southwest Australia.|205
AU5|Jarrah-Karri Forest and Shrublands|The tall, wet forests of the southwestern tip of Australia are an isolated refuge for wet forest species separated from Australia’s eastern moist forests by the arid center of the continent.|202
AU5|Hampton Mallee and Woodlands|This ecoregion occurs on ancient marine dunes and sediments uplifted along the southern coast of Australia.|201
AU5|Flinders-Lofty Montane Woodlands|North-south ranges and hills dominate this small ecoregion, situated in southern east-central Australia.|200
AU5|Eyre and Yorke Mallee|The mallee woodlands and shrublands of southern Australia are hotspots for plant biodiversity, an outstanding feature of the five Mediterranean-climate regions in the world.|199
AU5|Esperance Mallee|This ecoregion is one of the world’s greatest concentrations of unique plants, being one of the richest ecoregions within the Southwest Australia (SWA) Mediterranean-climate global botanical hotspot.|198
AU5|Coolgardie Woodlands|This ecoregion includes a transition woodland between the Mediterranean-climate of Australia’s south-west coast and the continent’s arid interior.|197
AU4|Naracoorte Woodlands|The Mediterranean-climate woodlands of the Naracoorte represent a globally-rare habitat type adapted to cool, wet winters and hot, dry summers.|204
AU4|Murray-Darling Woodlands and Mallee|This is one of the world’s rare Mediterranean-climate ecoregions, all notable for rich concentrations of endemic plants. |203
AU4|Southeast Australia Temperate Savanna|This ecoregion is a transition between the moist eastern coastal margin and the arid central interior Australia.|192
AU4|Eastern Australia Mulga Shrublands|Low mulga woodlands and shrublands dominate the infertile soils of this ecoregion.|191
AU3|Australian Alps Montane Grasslands|The southern portion of the Great Dividing Range in southeast Australia has peaks reaching 2,228 m, making it the highest massif on the continent and the only ecoregion with alpine ecosystems.|193
AU3|Tasmanian Temperate Rainforests|This ecoregion includes rainforests of western Tasmania which are among the world’s oldest forests.|179
AU3|Tasmanian Temperate Forests|This ecoregion houses Eucalypt woodlands, wombats, wallaby, kangaroo, echidnas, platypus, and tasmanian devils.|178
AU3|Tasmanian Central Highland Forests|This ecoregion features a series of mountain peaks covered in unusual plant communities.|177
AU3|Southeast Australia Temperate Forests|This ecoregion covers the coastal lowlands and inland tablelands that lie inland of the Great Dividing Range and Australian Alps. |176
AU3|Eastern Australian Temperate Forests|This wetter coastal ecoregion has acted as refuge for wet forest species for millions of years and many endemic and relictual species occur here.|168
NT24|Southern Mesoamerican Pacific Mangroves|The Southern Mesoamerican Pacific Mangrove ecoregion comprises five subecoregions.|617
NT24|Mesoamerican Gulf-Caribbean Mangroves|The Mesoamerican Gulf-Caribbean Mangroves ecoregion holds eleven subecoregions. The mangrove fragments remaining across this ecoregion are important refuges for many breeding and migratory species. |613
NT24|Malpelo Island Xeric Scrub|Malpelo Island is a small, isolated Pacific island 435 km to the west of Colombia and south of Panama.|604
NT24|Panamanian Dry Forests|This ecoregion is distributed in distinct areas, such as small residual deciduous and semi-deciduous forests and gallery forests along the rivers.|541
NT24|Talamancan Montane Forests|Located in the highlands of Costa Rica and western Panama, the Talamanca Montane Forests ecoregion occurs above 750 m and above 1,500 m in some places on the Pacific slope, up to approximately 3,000 m.|506
NT24|Magdalena-Urabá Moist Forests|Located in northern Colombia, the moist forests of the Magdalena-Urabá ecoregion link the northern ecoregions of Mesoamerica and the Chocó with the Andean and Amazonian ecoregions.|478
NT24|Isthmian-Pacific Moist Forests|This ecoregion extends along the Pacific lowlands and foothills of southern Costa Rica and Panama. |471
NT24|Isthmian-Atlantic Moist Forests|This ecoregion covers the lowland Atlantic slopes mainly below 500 m elevation in southern Nicaragua, northern Costa Rica, and most of Panama. |470
NT24|Eastern Panamanian Montane Forests|The eastern Panamanian Montane Forests are located in the southeastern portion of Panama, in the Darién Province.|461
NT24|Chocó-Darién Moist Forests|This ecoregion extends from eastern Panama, in the provinces of Darién and Kuna-Yala, along almost the entire Pacific Coast of Colombia.|454
NT24|South American Pacific Mangroves|The South American Pacific Mangrove ecoregion is comprised of five subecoregions.|615
NT27|Belizian Pine Savannas|This ecoregion is found almost entirely in Belize along the northwestern coast of the Caribbean.|564
NT27|Yucatan Dry Forests|This ecoregion is on the northwestern portion of the Yucatán Peninsula in Mexico.|551
NT27|Veracruz Dry Forests|The region is in the coastal plain of central Veracruz, north of the Santa Martha and San Andrés volcanoes.|550
NT27|Yucatan Moist Forests|The Yucatán Moist Forests are located at the junction between the physiographical provinces of Petén in the southeast and the Yucatán in the northwest.|519
NT27|Veracruz Montane Forests|The Veracruz Montane Forests are located in the Mexican State of Veracruz and are remnant of the Sierra Madre Oriental mountain range. |515
NT27|Veracruz Moist Forests|This moist forest ecoregion is situated on the Gulf of Mexico’s northeastern coastal plain of Mexico, in the north of Veracruz and the south of Tamaulipas states. |514
NT27|Sierra De Los Tuxtlas|Sierra de los Tuxtlas constitutes the largest and northernmost intact portion of moist forests in Mexico.|501
NT27|Petén-Veracruz Moist Forests|Spanning West to East along southeastern Mexico, the ecoregion narrows where the Mexican states of Veracruz, Oaxaca and Puebla meet, and continues as a wide strip of land towards the southeast.|494
NT27|Pantanos De Centla|The Pantanos de Centla Moist Forests are in the state of Tabasco, Mexico.|489
NT27|Mesoamerican Gulf-Caribbean Mangroves|The Mesoamerican Gulf-Caribbean Mangroves ecoregion holds eleven subecoregions. The mangrove fragments remaining across this ecoregion are important refuges for many breeding and migratory species. |613
NT29|Clipperton Island Shrub and Grasslands|Clipperton Island, also referred to as “Ile de la Passion”, falls under the jurisdiction of the Republic of French Polynesia. |568
NT29|Islas Revillagigedo Dry Forests|Volcanic activity from the Pleistocene gave rise to the four Revillagigedo Islands: Socorro, Clarión, San Benedicto, and Roca Partida, located approximately 390 km southwest of Cabo San Lucas in Mexico.|533
NT28|Northern Mesoamerican Pacific Mangroves|The Northwest Mexican Coast Mangroves are composed of two main mangrove areas located on the Pacific Coast and on the Gulf of California coast.|614
NT28|Tehuacán Valley Matorral|The Tehuacán Valley Matorral ecoregion is situated in southeast Puebla and northwestern Oaxaca states in Mexico.|610
NT28|San Lucan Xeric Scrub|The San Lucan Xeric Scrub ecoregion includes the southernmost part of the Baja California peninsula. |607
NT28|Trans-Mexican Volcanic Belt Pine-Oak Forests|The Trans-volcanic belt is a large mountain range running from west to east in the central portion of Mexico. |559
NT28|Sierra Madre Del Sur Pine-Oak Forests|Most of this ecoregion falls within the Guerrero and Oaxaca states.|558
NT28|Sierra Madre De Oaxaca Pine-Oak Forests|This ecoregion is located in northern Oaxaca State, and is delineated by the Sierra Norte de Oaxaca Mountains, which have characteristically abrupt and rugged topography.|557
NT28|Sierra de la Laguna Pine-Oak Forests|This ecoregion is contained in a larger area known as the Cape Region and constitutes the southernmost part of the Baja California Peninsula.|556
NT28|Southern Pacific Dry Forests|This ecoregion is located on the southeastern slopes of the Sierra Madre del Sur Mountains, which give way to a narrow fringe of coastal plains on which the dry forests of this ecoregion are found. |547
NT28|Sinaloan Dry Forests|The Sinaloan Dry Forests ecoregion is situated in the northwestern Pacific coastal plain of Mexico.|545
NT28|Sierra de la Laguna Dry Forests|Located at the southern end of the Baja California peninsula, this region was once an isolated island before joining the mainland.|544
NT28|Jalisco Dry Forests|The Jalisco Dry Forests are located along the Pacific coast of the Mexican states of Nayarit, Jalisco, and Colima.|534
NT28|Balsas Dry Forests|The Balsas Dry Forest ecoregion is in southern Mexico, south of the mountainous Trans-volcanic belt.|522
NT28|Bajío Dry Forests|This ecoregion is situated in western central Mexico, and forms part of the central trans-volcanic belt.|521
NT28|Oaxacan Montane Forests|Among the largest intact montane forests of southern Mexico, this ecoregion houses the highest diversity of amphibians and reptiles in the country. |487
NT25|Southern Mesoamerican Pacific Mangroves|The Southern Mesoamerican Pacific Mangrove ecoregion comprises five subecoregions.|617
NT25|Miskito Pine Forests|These coastal pine forests of the Caribbean coast and of the Honduras and Nicaragua lowlands contrast sharply with the surrounding tropical moist forest.|573
NT25|Central American Pine-Oak Forests|This ecoregion incorporates the central Mexican state of Chiapas, southern Guatemala, most of Honduras and El Salvador, and small areas of west central Nicaragua.|553
NT25|Chiapas Depression Dry Forests|The most extensive dry forests in the state of Chiapas, Mexico lies on a vast portion of flat lands called the Central Chiapas Depression. |528
NT25|Central American Dry Forests|The Central American Dry forest ecoregion stretches along the Pacific Coast of southern Chiapas, Mexico to Guanacaste, Costa Rica.|527
NT25|Sierra Madre De Chiapas Moist Forests|The species rich and diverse moist forests of Chiapas lie on both sides of the Sierra Madre de Chiapas.|502
NT25|Costa Rican Seasonal Moist Forests|The Costa Rican Seasonal Moist Forests ecoregion is a transitional subtropical habitat between the surrounding wet and dry forest ecoregions.|458
NT25|Cocos Island Moist Forests|Cocos Island in the central eastern Pacific Ocean lies 523 km southwest of Cabo Blanco, in Costa Rica.|455
NT25|Chimalapas Montane Forests|The Chimalapas Montane Forests occur in mountains above approximately 1,000 m at the junction of the three most biodiverse states of Mexico: Veracruz, Oaxaca, and Chiapas.|453
NT25|Chiapas Montane Forests|This ecoregion is located in the state of Chiapas, Mexico, on the northeast mountain range, with elevations from 1,200-2,200 m.|452
NT25|Central American Montane Forests|The Central American Montane Forests ecoregion comprised of more than 40 relatively small islands extending from southern Mexico towards the southeast through Guatemala, El Salvador, Honduras, and Nicaragua. |451
NT25|Central American Atlantic Moist Forests|This ecoregion is located along the Caribbean lowlands of Central America through southeast Guatemala.|450
NT25|Cayos Miskitos-San Andrés and Providencia Moist Forests|This ecoregion is formed by the moist forests of the Cayos Miskitos, San Andrés, and Providencia Islands.|449
NT25|Mesoamerican Gulf-Caribbean Mangroves|The Mesoamerican Gulf-Caribbean Mangroves ecoregion holds eleven subecoregions. The mangrove fragments remaining across this ecoregion are important refuges for many breeding and migratory species. |613
NT25|Motagua Valley Thornscrub|The Motagua Valley is situated in northeastern Guatemala along the border of Honduras.|605
NT26|Puerto Rican Moist Forests|Montane forests cover the Sierra de Luquillo and the higher peaks of the Cordillera Central.|495
NT26|Bahamian-Antillean Mangroves|The Bahamas islands ecoregion consist of over 3,000 low-lying islands with a maximum elevation of 60 m.|612
NT26|Cuban Cactus Scrub|This ecoregion is dispersed in strips or small patches along Cuba’s shore, particularly in the southeastern part of the island. |600
NT26|Caribbean Shrublands|This ecoregion includes the Leeward Islands, specifically most of Grande Terre and Marie-Galante of Guadeloupe, Antigua, Anguilla, St. Martin, St. Barthelemy, Saba, and the eastern portions of the US and British Virgin Islands.|599
NT26|Everglades Flooded Grasslands|The Everglades, located at the southern tip of peninsular Florida, is the most well-known wetland in the United States and one of the most distinct in the world.|581
NT26|Enriquillo Wetlands|This ecoregion is primarily composed of lakes, lake islands, and surrounding habitats. |580
NT26|Cuban Wetlands|Most of Cuba’s wetlands are located on floodplains and depressions influenced by the tides.|579
NT26|Hispaniolan Pine Forests|The pine forests of this ecoregion are located on slopes with shallow soils and at higher elevations in the Hispaniolan mountain systems. |555
NT26|Cuban Pine Forests|The Cuban Pine Forests are located on the eastern and western sides of the island in the province of Isla de la Juventud and Pinar del Río.|554
NT26|Bahamian Pineyards|This ecoregion is found in varying proportions on the northern Bahamian islands of Grand Bahama, Abaco, Andros, New Providence in the Bahamas, and the Caicos Islands of North and Middle Caicos and Pine Cay.|552
NT26|Puerto Rican Dry Forests|The Puerto Rican Dry Forests ecoregion is located along the south-central and southwestern coast of Puerto Rico and on the adjacent islands of Mona, Vieques, Culebra, Desecheo, and Caja de Muertos.|543
NT26|Lesser Antillean Dry Forests|This ecoregion covers small portions of the Caribbean’s Leeward Islands.|537
NT26|Jamaican Dry Forests|This ecoregion comprises approximately 15% of the land area on the island and covers most of the dry forests near the coast.|535
NT26|Hispaniolan Dry Forests|The areas occupied by this ecoregion are located throughout the western two thirds of the island of Hispaniola, making up about 20% of the vegetation. |532
NT26|Cuban Dry Forests|This ecoregion contains 141 bird species, 11 of them endemic to the island, and some of which are endangered.|530
NT26|Windward Islands Moist Forests|The Windward Island Moist Forests ecoregion is found in much of the central portion of each of the Caribbean’s Windward Islands and is characterized by rugged mountains, lush tropical vegetation, and high annual rainfall.|517
NT26|Leeward Islands Moist Forests|This ecoregion is found in various proportions on the Caribbean’s Leeward Islands characterized by rugged volcanic mountains covered in moist tropical forest.|475
NT26|Jamaican Moist Forests|This ecoregion comprises approximately 85% of Jamaica’s land area covering most of the island except coastal areas and lowland dry forests.|472
NT26|Hispaniolan Moist Forests|The endangered Hispaniolan solenodon is endemic to its namesake island with much of its suitable habitat falling in this ecoregion.|468
NT26|Cuban Moist Forests|This ecoregion is distributed in multiple patches of different sizes along the ranges and highlands of the island of Cuba.|459
PA30|Paropamisus Xeric Woodlands|This ecoregion is located mostly in Northern Afghanistan on the central mountains, where higher altitudes and more rainfall permit open xeric woodlands to thrive.|834
PA30|Central Afghan Mountains Xeric Woodlands|This ecoregion forms a broad crescent shapes belt surrounding the eastern and southern sides of the Afghan central mountains. |816
PA30|Baluchistan Xeric Woodlands|This ecoregion extends from the Las Bela Valley and high plateaus of Baluchistan Province in southwest Pakistan and southeastern Afghanistan north to the Trans-Indus Plains of the North-West Frontier Province.|814
PA30|Badghyz and Karabil Semi-Desert|This ecoregion stretches through the hilly plateaus north of the Paropamiz mountain, part of the Hindu Kush range.|813
PA30|Afghan Mountains Semi-Desert|This ecoregion is made up of three disjunct areas of small, dry valleys along the slopes of Hindu Kush mountain range in Afghanistan.|807
PA30|Sulaiman Range Alpine Meadows|This disjunct ecoregion covers the alpine meadows of the high elevations, above 1,500 m of the Sulaiman Range.|766
PA30|Ghorat-Hazarajat Alpine Meadow|This ecoregion follows the western extension of the subalpine thickets and Cushion Shrubland floristic unit and is made up of several distinct parts.|752
PA30|East Afghan Montane Conifer Forests|This ecoregion spans from the Eastern Hindu Kush mountain range in Afghanistan to the Central North of Pakistan.|694
PA29|Registan-North Pakistan Sandy Desert|This ecoregion spans southern Afghanistan, extreme eastern Iran, and part of Northwest Pakistan.|838
PA29|Central Persian Desert Basins|This ecoregion covers Iran’s central plateau, reaching into a small part of Northwest Afghanistan.|820
PA29|South Iran Nubo-Sindian Desert and Semi-Desert|This ecoregion stretches across the Southern swathe of Iran, reaching into small areas of Iraq and Pakistan. |841
PA29|Kuh Rud and Eastern Iran Montane Woodlands|This ecoregion encompasses the highlands of central and Eastern Iran, reaching into a very small area of Pakistan.|757
PA28|Elburz Range Forest Steppe|The Elburz Range Forest Steppe is in Northern Iran, spanning the Southern and Eastern slopes of the Elburz Mountains. |695
PA28|Caspian Hyrcanian Mixed Forests|The vast majority of the ecoregion lies in Northwest Iran, while part of it covers the Lenkoran lowlands and Talysh Mountains of Southeast Azerbaijan.|649
PA27|Eastern Anatolian Montane Steppe|This ecoregion traverses East Turkey, Northwest Iran, the Nakhchyvan Autonomous Republic in Azerbaijan, Armenia, and South Georgia. |727
PA27|Zagros Mountains Forest Steppe|This ecoregion spans the Zagros mountain arch.|688
PA31|Tian Shan Montane Conifer Forests|Surrounded by the desert basins of northern China, this ecoregion is an isolated, east-west trending mountain range |709
PA31|Tian Shan Foothill Arid Steppe|The Tian Shan (Celestial Mountains) rises from the deserts and steppe basins of Inner Asia to form the largest temperate-arid mountain system on Earth. |740
PA31|Gissaro-Alai Open Woodlands|This ecoregion intersects five countries: Afghanistan, Kazakhstan, Kyrgyzstan, Tajikistan, and Uzbekistan.|730
PA31|Alai-Western Tian Shan Steppe|This ecoregion spreads over five countries along lowland and loess plains.|721
PA31|Tian Shan Montane Steppe and Meadows|The Tian Shan are separated from the Kunlun Mountains and the Tibetan Plateau by the broad, hyper-arid Tarim Basin and Taklimakan Desert. |767
PA33|Kopet Dag Semi-Desert|This ecoregion lies largely within Turkmenistan, reaching into a small area of Northeastern Iran. Fringing the magnificent Kopet Dag Mountains, it spans the transition zone between foothills and vast lowland desert.|829
PA33|Caspian Lowland Desert|This ecoregion lies on the northern and eastern shores of the Caspian Sea following the coastlines of Russia, Kazakhstan, Turkmenistan, and Iran. |815
PA33|Azerbaijan Shrub Desert and Steppe|Seventy percent of this ecoregion lies within Azerbaijan, with the rest reaching into Southeast Georgia and Northwest Iran. |812
PA33|Kopet Dag Woodlands and Forest Steppe|This ecoregion encompasses the Kopet Dag—a chain of mountains stretching along the border of Iran and Turkmenistan.|756
PA32|Kazakh Semi-Desert|This ecoregion stretches from the Ural River to the west, encompassing the North Aral Sea in the southwest, to the Kazakh Uplands, a vast low-relief plain, in the central east, which has low mountain oases.|828
PA32|Central Asian Southern Desert|This ecoregion covers two massive deserts, the Kyzylkum in Uzbekistan and Kazakhstan, and the Karakum in Turkmenistan.|819
PA32|Central Asian Riparian Woodlands|This ecoregion covers four disjunct portions in Turkmenistan, Uzbekistan, and Kazakhstan.|818
PA32|Central Asian Northern Desert|This ecoregion covers disjunct areas mainly in Kazakhstan and Uzbekistan, with small parts in Kyrgyzstan and Turkmenistan. |817
PA35|Western Siberian Hemiboreal Forests|This ecoregion forms a latitudinal belt within the southern taiga zone of West Siberia.|687
PA34|Kazakh Upland Steppe|This ecoregion is composed of three separate areas: Kokchetau Uplands in northern Kazakhstan; Aktau, Ortau, and Karkaraly mountain area in central-eastern Kazakhstan; and Chingiztau mountain area to the east.|733
PA34|Kazakh Steppe|This large ecoregion is bounded in the west by the Ural River, in the north and east by more humid forest steppe, and in the south by the Kazakh Semi-Desert ecoregion. |732
PA34|Kazakh Forest Steppe|This ecoregion forms a long, 150–250 km-wide band, stretching from the Ural Mountains to foothills of the Altai and Sayan Mountains. |731
PA37|Emin Valley Steppe|This ecoregion straddles the Kazakhstan-China border along the north slope of the Tian Shan mountain range.|728
PA37|Altai Alpine Meadow and Tundra|This ecoregion lies above conifer forest treeline, occupying the headwaters of two of Siberia’s greatest rivers, the Ob and the Irtysh. |749
PA37|Altai Steppe and Semi-Desert|This ecoregion forms a transition between the forests of the Altai Mountain ecoregions to the north and east and the Kazakh desert plain to the west. |724
PA37|Altai Montane Forest and Forest Steppe|This ecoregion traces the Altai Mountains southeastward, dividing arid basins of Inner Asia from Siberian river systems that drain to the Arctic. |690
PA36|Sayan Alpine Meadows and Tundra|This ecoregion covers areas above the tree line between the Altai Mountains and Lake Baikal in Russia.|764
PA36|Sayan Intermontane Steppe|This ecoregion is found between ridges of the Tannu-Ola mountains to the south and the Western Sayan mountains to the north, within the Central Tuva Depression. |736
PA36|Sayan Montane Conifer Forests|This ecoregion is situated on the boundary between Siberian taiga forest and Central Asian desert, comprising the mid-elevations of the highest mountains in Siberia.|707
PA36|South Siberian Forest Steppe|This ecoregion is made up of four patches of a mix of grasslands and sparse forest in a thin band of lowland terrain. |738
PA39|Taklimakan Desert|Encircled by tall mountains near the geographic center of Eurasia, the Taklamakan Desert is deprived of moisture from all sources—monsoonal, westerly, and Arctic.|843
PA39|Tarim Basin Deciduous Forests and Steppe|Situated across Xinjiang, China, the Tarim Basin is further from the ocean than any other place in the world, with high mountains blocking both the Asian monsoon and westerly winter storms. |684
PA38|Great Lakes Basin Desert Steppe|This huge depression is bounded by the Mongolian Altai mountains to the west, Gobi Altai mountains to the south, Tannu Ola mountains to the north, and the Sangilen and Khangai ranges to the west.|826
PA38|Junggar Basin Semi-Desert|The Junggar Basin is one of the great intermontane basins of Central Asia. Situated between the Tian Shan and Altai mountain ranges, it supports a vast expanse of semi-desert habitat.|827
PA38|Gobi Lakes Valley Desert Steppe|This ecoregion sits between the Khangai Mountains and the eastern end of the Mongolian Altai mountain range, covering the eastern end of the Gobi Altai mountains, including their highest peak, Ikh Bogd, 3,957m tall. |825
PA38|Eastern Gobi Desert Steppe|This ecoregion covers an area of 282,369 km2 and extends from the Inner Mongolian plateau in northern China and Mongolia.|824
PA38|Alashan Plateau Semi-Desert|This ecoregion encompasses the Helan Mountains to the East, Quilian Mountains the West, and the Tibetan Plateau to the south, both in China.|808
PA41|Karakoram-West Tibetan Plateau Alpine Steppe|This ecoregion lies within the catchment of the upper Indus River where it is shadowed from rain by the Karakoram and the northwestern Himalayan mountain ranges.|754
PA41|Yarlung Zanbo Arid Steppe|The Yarlung Zanbo valley is situated at a lower elevation than other parts of the Tibetan Plateau and is further warmed during summer by föhn winds that descend the north slope of the Himalaya.|770
PA41|Western Himalayan Alpine Shrub and Meadows|This ecoregion represents the alpine meadows and shrublands between 3,000 and 5,000 m in the western Himalaya, from the Kali Gandaki River gorge in Nepal to the Indian State of Uttar Pradesh. |769
PA41|Pamir Alpine Desert and Tundra|This ecoregion includes broad valleys and steeply rolling hills with an ecological and physiographic similarity to the Tibetan Plateau, that are instead situated at a mean elevation of about 4,200 m, substantially lower (and warmer) than the high basins of northwestern Tibet.|762
PA41|Northwestern Himalayan Alpine Shrub and Meadows|This ecoregion represents a narrow band of alpine scrub and meadows between 3,300 and 3,600 m, especially in the Vale of Kashmir.|760
PA41|Hindu Kush Alpine Meadow|This ecoregion forms part of the western Hindu Kush Himalayas in Afghanistan and is bordered by Pakistan in the east and Tajikistan in the north.|753
PA41|Eastern Himalayan Alpine Shrub and Meadows|This ecoregion is atop the roof of the world, surrounding the highest mountain peaks on Earth; Everest—locally known as Sagarmatha—Makalu, Dhaulagiri, and Jomalhari. |751
PA41|Northeastern Himalayan Subalpine Conifer Forests|This ecoregion occupy slopes of the Zangbo Gorge, the deepest river valley on Earth.⁠|702
PA40|Southeast Tibet Shrublands and Meadows|Abutting the highest mountain range in the world, the southeastern Tibetan Plateau supports an exceptionally moist alpine habitats.|765
PA40|Qilian Mountains Subalpine Meadows|The Qilian Mountains crest along the northeastern rim of the Tibet Plateau at elevations over 5,500 m.|763
PA40|Qilian Mountains Conifer Forests|The Qilian Mountains rise to 5,500 m elevation along the northeastern margin of the Tibetan Plateau, providing snowmelt to desert oases at the foot of the range. |705
PA40|Qaidam Basin Semi-Desert|This ecoregion occupies a tectonic depression, or graben, that slumps between the Tibet Plateau, the Altun mountain range, and the western part of the rapidly uplifting Qilian mountain range.|835
PA40|Tibetan Plateau Alpine Shrublands and Meadows|Alpine shrublands and meadows extend 1,500 km across the central part of the Tibetan Plateau from the Tsangpo river valley near Lhasa to the Qilian Mountains in the far northeast.|768
PA40|North Tibetan Plateau-Kunlun Mountains Alpine Desert|The vast Tibetan Plateau supports a range of alpine habitats, of which the most extreme environments are located in the northwest where precipitation is scant, temperatures are frigid, and elevations exceed 4,800 m for hundreds of kilometers in all directions.|759
PA40|Central Tibetan Plateau Alpine Steppe|Between the monsoon-affected southeast and the frigid, desiccated northwest lies this ecoregion, hundreds of thousands of square kilometers of steppe meadow, where individual small plants are typically separated by bare earth. |750
PA44|Khangai Mountains Alpine Meadow|This ecoregion encompasses a mosaic of habitats at the highest altitudes of Mongolia’s central Khangai mountain range.|755
PA44|Nenjiang River Grassland|The Nenjiang River originates in the Khingan mountain range, near the eastern end of the Mongolian Plateau, then flows to the lowlands of central Manchuria in northeastern China. |743
PA44|Selenge-Orkhon Forest Steppe|This ecoregion covers the basins of the Tesiin Gol River, which runs to the west; the Selenge River, which run north east to Lake Baikal; and its major tributary, the Orkhon River. |737
PA44|Mongolian-Manchurian Grassland|This ecoregion is one of the largest, most intact grassland ecosystems on Earth, lying between Siberian conifer forests, Central Asian rocky deserts, and the Manchurian hills of Northeastern China.|734
PA44|Khangai Mountains Conifer Forests|This ecoregion is restricted to a narrow northern strip of the Khangai Mountain range of Mongolia, where dense conifer forests grow on the northern aspect of mountain slopes. |700 
PA44|Daurian Forest Steppe|Mongolia’s Daurian Forest Steppe ecoregion covers the northern part of the UNESCO-designated ‘Landscapes of Dauria’, a majestic reach of forest and steppe-grassland that extends across northeastern Mongolia into southern Siberia.|726
PA42|Ordos Plateau Steppe|The Ordos Plateau lies within the Great Bend of the Huang He (Yellow River) in China.|761
PA42|Helanshan Montane Conifer Forests|The Helanshan mountain range projects northward for about 180 km from the Tibet-Qinghai Plateau in China.|696
PA48|Central Korean Deciduous Forests|This ecoregion occupies most of the Korean Peninsula, apart from the southern coastal margin and the hilly north.|655
PA48|Southern Korea Evergreen Forests|The climate and environmental conditions of the southern margin of the Korean Peninsula and Jeju Island support warm-temperate evergreen broadleaf forest.⁠|681
PA46|Suiphun-Khanka Meadows and Forest Meadows|Lake Khanka sits astride the China-Russia border in the center of this ecoregion, which is composed of lowlands surrounding 25 rivers.|746
PA46|Amur Meadow Steppe|The expansive rivers, Amur and Songhua, wind through the vast, open plains of this ecoregion.|741
PA46|Ussuri Broadleaf and Mixed Forests|This ecoregion is found just north of the Amur River, which swings northwards through the ecoregion, east of the Ussuri River on the gentle western slopes of the Sikhote-Alin Mountains, and on the steep eastern slopes of the Sikhote-Alin to the coast of the Sea of Japan. |685
PA46|Changbai Mountains Mixed Forests|This ecoregion spans across northern North Korea and north-eastern China.|656
PA46|Northeast China Plain Deciduous Forests|The Northeast China Plain deciduous forests ecoregion follows the Liao river upstream from the Bay of Bohai, crosses a low watershed divide into the Songhua river, and extends to the confluence of the Songhua with the Heilongjiang (Amur) River on the Russian frontier.|673
PA46|Manchurian Mixed Forests|The Manchurian Mixed Forests ecoregion is affected by a cold continental airflow from interior Asia that brings dry, frigid conditions during winter.|669
PA45|Da Hinggan-Dzhagdy Mountains Conifer Forests|Western interior reaches of the Da Hinggan (Khingan) mountain range of Chinese Inner Mongolia extend north to the Dzhagdy Mountains of Russia, an eastern extension of the great Altai mountain system.|693
PA47|Honshu Alpine Conifer Forests|This ecoregion covers several areas of alpine vegetation amidst montane deciduous forests areas in Northern Honshu (Japan's main island) and Southern Hokkaido islands.|699
